,Year,Quarter,Year-Month,Order Date,Region,Category,Product Name,Unit Price,Quantity,Sales,Profit,Profit Margin
0,2022,2022Q4,2022-11,2022-11-27,East,Accessories,Mouse,199.55499999999998,3,598.665,53.265,0.0889729648467841
1,2022,2022Q2,2022-05,2022-05-11,South,Electronics,Tablet,1173.114,5,5865.57,502.73,0.08570863530739553
2,2024,2024Q1,2024-03,2024-03-16,South,Accessories,Mouse,393.48,1,393.48,101.435,0.2577894683338416
3,2023,2023Q4,2023-12,2023-12-01,West,Electronics,Camera,524.38,1,524.38,106.35,0.20281093863228955
4,2023,2023Q4,2023-10,2023-10-09,North,Accessories,Headphones,881.0457142857142,7,6167.32,1027.98,0.16668180019846546
5,2022,2022Q1,2022-01,2022-01-14,South,Electronics,Camera,437.0757142857143,7,3059.53,873.5,0.2855013678571545
6,2022,2022Q2,2022-04,2022-04-02,East,Electronics,Smartwatch,614.0033333333333,9,5526.03,595.28,0.10772290414637634
7,2023,2023Q4,2023-12,2023-12-04,South,Accessories,Monitor,1179.01,6,7074.06,1357.68,0.19192373262313298
8,2022,2022Q3,2022-09,2022-09-27,East,Electronics,Smartwatch,251.16,2,502.32,137.4,0.2735308170090779
9,2024,2024Q1,2024-02,2024-02-03,West,Electronics,Smartphone,841.184,10,8411.84,1170.58,0.13915861452428957
10,2023,2023Q4,2023-10,2023-10-10,West,Electronics,Camera,570.09,1,570.09,138.54,0.24301426090617267
11,2022,2022Q4,2022-10,2022-10-16,East,Accessories,Headphones,441.49,1,441.49,102.42,0.23198713447643207
12,2022,2022Q2,2022-05,2022-05-15,North,Accessories,Mouse,1244.96,3,3734.88,294.905,0.07895969883905238
13,2023,2023Q1,2023-02,2023-02-11,South,Electronics,Tablet,1106.17,2,2212.34,145.75,0.06588047045210049
14,2023,2023Q4,2023-12,2023-12-27,East,Electronics,Tablet,148.184,5,740.92,146.39,0.19757868595799816
15,2024,2024Q1,2024-03,2024-03-05,North,Accessories,Mouse,816.1228571428571,7,5712.86,651.27,0.11400069317294666
16,2023,2023Q3,2023-07,2023-07-18,North,Electronics,Smartwatch,913.1,3,2739.3,572.73,0.20907896177855656
17,2023,2023Q2,2023-06,2023-06-25,West,Accessories,Keyboard,280.15999999999997,5,1400.8,213.63,0.15250571102227298
18,2023,2023Q4,2023-11,2023-11-13,North,Office,Printer,1159.0433333333333,3,3477.13,939.2,0.27010781880458884
19,2022,2022Q3,2022-07,2022-07-09,North,Electronics,Camera,695.114,5,3475.57,570.36,0.16410545608346255
20,2023,2023Q4,2023-12,2023-12-11,West,Electronics,Laptop,682.05,9,6138.45,1562.14,0.25448443825395667
21,2023,2023Q1,2023-03,2023-03-18,West,Electronics,Camera,733.0899999999999,5,3665.45,406.93,0.11101774679780109
22,2024,2024Q2,2024-05,2024-05-04,North,Electronics,Laptop,691.035,2,1382.07,211.11,0.1527491371638195
23,2022,2022Q3,2022-09,2022-09-04,West,Electronics,Laptop,1126.39,2,2252.78,388.16,0.17230266603929367
24,2024,2024Q1,2024-01,2024-01-22,West,Accessories,Mouse,247.12,4,988.48,147.91,0.14963378115895112
25,2023,2023Q2,2023-05,2023-05-04,North,Accessories,Headphones,913.3299999999999,3,2739.99,202.81,0.07401851831576028
26,2023,2023Q2,2023-04,2023-04-18,South,Electronics,Tablet,387.0057142857143,7,2709.04,702.79,0.2594240025987065
27,2022,2022Q4,2022-12,2022-12-12,West,Office,Printer,312.24666666666667,3,936.74,201.24,0.21483015564617716
28,2022,2022Q3,2022-09,2022-09-11,West,Electronics,Camera,930.0275,4,3720.11,410.92,0.11045909932770805
29,2024,2024Q1,2024-03,2024-03-26,West,Accessories,Mouse,1064.008,5,5320.04,716.91,0.13475650559018354
30,2023,2023Q3,2023-09,2023-09-20,East,Accessories,Headphones,201.155,4,804.62,121.51,0.15101538614501256
31,2023,2023Q2,2023-05,2023-05-25,North,Electronics,Laptop,153.09625,16,2449.54,493.54,0.20148272736922035
32,2022,2022Q4,2022-12,2022-12-04,South,Accessories,Headphones,963.048888888889,9,8667.44,781.78,0.09019733623768955
33,2022,2022Q2,2022-06,2022-06-10,West,Accessories,Monitor,1006.0533333333333,3,3018.16,320.11,0.10606130887693165
34,2023,2023Q1,2023-02,2023-02-05,West,Electronics,Laptop,865.126,10,8651.26,2046.78,0.23658750286085495
35,2024,2024Q1,2024-01,2024-01-20,South,Electronics,Laptop,519.3266666666667,3,1557.98,181.08,0.11622742268835287
36,2022,2022Q1,2022-01,2022-01-27,South,Accessories,Monitor,612.0483333333333,6,3672.29,1002.5,0.2729904228696535
37,2023,2023Q1,2023-03,2023-03-29,West,Accessories,Mouse,333.49,1,333.49,72.34,0.21691804851719693
38,2024,2024Q4,2024-11,2024-11-26,West,Accessories,Mouse,148.115,3,444.345,105.195,0.2367417209600648
39,2024,2024Q3,2024-09,2024-09-19,West,Electronics,Laptop,656.028,10,6560.28,1908.34,0.2908930716371862
40,2023,2023Q3,2023-07,2023-07-20,South,Accessories,Mouse,206.50833333333333,3,619.525,88.695,0.1431661353456277
41,2024,2024Q2,2024-05,2024-05-03,East,Accessories,Headphones,735.0125,8,5880.1,436.85,0.07429295420145916
42,2022,2022Q3,2022-09,2022-09-03,West,Electronics,Smartphone,834.035,4,3336.14,874.6,0.262159261901479
43,2024,2024Q3,2024-07,2024-07-09,West,Office,Printer,587.1357142857142,7,4109.95,1037.64,0.25247022469859737
44,2022,2022Q4,2022-11,2022-11-17,West,Electronics,Smartwatch,85.07428571428571,7,595.52,148.5,0.2493619022031166
45,2022,2022Q2,2022-05,2022-05-30,South,Accessories,Monitor,624.2566666666667,3,1872.77,553.1,0.2953379219017819
46,2024,2024Q2,2024-04,2024-04-17,East,Electronics,Smartwatch,354.06333333333333,6,2124.38,126.03,0.059325544394129105
47,2024,2024Q3,2024-09,2024-09-30,West,Accessories,Monitor,1042.026,5,5210.13,1338.8,0.2569609587476704
48,2024,2024Q2,2024-06,2024-06-02,South,Accessories,Mouse,960.3216666666667,3,2880.965,181.24,0.06290947651221032
49,2022,2022Q3,2022-09,2022-09-26,South,Accessories,Headphones,985.092857142857,7,6895.65,1596.35,0.23150101875820264
50,2024,2024Q4,2024-12,2024-12-17,East,Electronics,Smartwatch,706.2966666666666,3,2118.89,317.08,0.14964438927929247
51,2024,2024Q4,2024-10,2024-10-09,North,Electronics,Smartwatch,166.08599999999998,5,830.43,58.28,0.07018050889298316
52,2023,2023Q3,2023-07,2023-07-14,North,Electronics,Smartwatch,851.61,1,851.61,93.56,0.1098624957433567
53,2022,2022Q2,2022-06,2022-06-03,West,Accessories,Mouse,910.0266666666666,3,2730.08,422.875,0.15489472835960852
54,2024,2024Q4,2024-12,2024-12-28,East,Accessories,Headphones,1159.158,5,5795.79,310.6,0.05359062353881007
55,2022,2022Q3,2022-08,2022-08-06,South,Electronics,Laptop,502.0125,8,4016.1,676.88,0.1685416199795822
56,2023,2023Q2,2023-06,2023-06-06,South,Accessories,Mouse,406.0657142857143,7,2842.46,425.24,0.149602808834601
57,2024,2024Q1,2024-02,2024-02-01,East,Accessories,Mouse,851.015,2,1702.03,196.11,0.11522123581840508
58,2023,2023Q2,2023-05,2023-05-31,West,Electronics,Smartwatch,1065.84,1,1065.84,228.63,0.2145068678225625
59,2024,2024Q2,2024-06,2024-06-14,West,Electronics,Tablet,307.03285714285715,7,2149.23,121.69,0.056620277960013586
60,2023,2023Q1,2023-02,2023-02-01,West,Accessories,Mouse,1116.1566666666665,3,3348.47,331.28,0.09893473735765887
61,2024,2024Q2,2024-04,2024-04-28,South,Electronics,Smartphone,803.1533333333333,3,2409.46,531.79,0.22070920455205728
62,2024,2024Q2,2024-04,2024-04-05,North,Electronics,Tablet,164.4,2,328.8,39.51,0.12016423357664233
63,2024,2024Q1,2024-01,2024-01-09,North,Electronics,Smartwatch,506.14,5,2530.7,486.09,0.19207729086813927
64,2024,2024Q2,2024-05,2024-05-22,South,Office,Printer,328.066,5,1640.33,391.36,0.23858613815512733
65,2023,2023Q4,2023-12,2023-12-30,South,Electronics,Laptop,111.82,2,223.64,38.66,0.17286710785190484
66,2022,2022Q1,2022-03,2022-03-17,North,Accessories,Headphones,445.05,1,445.05,128.89,0.2896079092236827
67,2024,2024Q2,2024-06,2024-06-09,North,Accessories,Mouse,667.88,1,667.88,88.22,0.13208959693358088
68,2024,2024Q4,2024-12,2024-12-01,South,Accessories,Keyboard,618.024,5,3090.12,242.15,0.07836265258307121
69,2023,2023Q4,2023-10,2023-10-20,East,Office,Printer,782.036,5,3910.18,538.52,0.13772256008674794
70,2024,2024Q1,2024-03,2024-03-05,South,Electronics,Camera,219.2,1,219.2,32.67,0.14904197080291973
71,2022,2022Q4,2022-12,2022-12-05,West,Electronics,Smartphone,78.196,5,390.98,27.77,0.07102665097958974
72,2022,2022Q3,2022-08,2022-08-05,North,Electronics,Laptop,549.0466666666667,12,6588.56,719.22,0.10916194130432143
73,2023,2023Q1,2023-03,2023-03-21,West,Accessories,Keyboard,1143.1475,2,2286.295,519.025,0.22701576130814263
74,2022,2022Q1,2022-02,2022-02-08,South,Accessories,Monitor,140.14142857142858,7,980.99,109.94,0.11207045943383724
75,2023,2023Q2,2023-04,2023-04-01,North,Accessories,Headphones,1131.485,2,2262.97,532.12,0.2351423129780775
76,2022,2022Q4,2022-12,2022-12-14,South,Electronics,Camera,1074.0414285714285,7,7518.29,1655.91,0.2202508815169407
77,2022,2022Q2,2022-05,2022-05-14,South,Electronics,Camera,873.25,1,873.25,158.97,0.1820440881763527
78,2022,2022Q1,2022-02,2022-02-16,North,Accessories,Mouse,252.155,6,1512.93,423.03,0.27960976383573594
79,2024,2024Q3,2024-08,2024-08-28,West,Electronics,Laptop,705.65,2,1411.3,330.32,0.23405370934599307
80,2023,2023Q4,2023-10,2023-10-30,North,Electronics,Smartwatch,407.03875,8,3256.31,533.7,0.16389717195230186
