Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2022-11-27,Mouse,Accessories,East,3,598.665,53.265
2022-05-11,Tablet,Electronics,South,5,5865.57,502.73
2024-03-16,Mouse,Accessories,South,1,393.48,101.435
2022-09-10,Mouse,Accessories,West,0,254.59,51.64
2023-12-01,Camera,Electronics,West,1,524.38,106.35
2023-10-09,Headphones,Accessories,North,7,6167.32,1027.98
2022-01-14,Camera,Electronics,South,7,3059.53,873.5
2022-04-02,Smartwatch,Electronics,East,9,5526.03,595.28
2023-12-04,Monitor,Accessories,South,6,7074.06,1357.68
2022-09-27,Smartwatch,Electronics,East,2,502.32,137.4
2023-12-21,Tablet,Electronics,North,7,7462.65,2166.17
2024-02-03,Smartphone,Electronics,West,10,8411.84,1170.58
2023-10-10,Camera,Electronics,West,1,570.09,138.54
2022-10-16,Headphones,Accessories,East,1,441.49,102.42
2022-05-15,Mouse,Accessories,North,3,3734.88,294.905
2023-02-11,Tablet,Electronics,South,2,2212.34,145.75
2023-12-27,Tablet,Electronics,East,5,740.92,146.39
2024-03-05,Mouse,Accessories,North,7,5712.86,651.27
2023-07-18,Smartwatch,Electronics,North,3,2739.3,572.73
2023-06-25,Keyboard,Accessories,West,5,1400.8,213.63
2023-11-13,Printer,Office,North,3,3477.13,939.2
2022-07-09,Camera,Electronics,North,5,3475.57,570.36
2023-12-11,Laptop,Electronics,West,9,6138.45,1562.14
2023-03-18,Camera,Electronics,West,5,3665.45,406.93
2024-05-04,Laptop,Electronics,North,2,1382.07,211.11
2022-09-04,Laptop,Electronics,West,2,2252.78,388.16
2024-01-22,Mouse,Accessories,West,4,988.48,147.91
2023-04-09,Laptop,Electronics,North,18,21547.9,3814.72
2023-02-07,Headphones,Accessories,South,-1,3252.37,713.46
2023-05-04,Headphones,Accessories,North,3,2739.99,202.81
2023-04-18,Tablet,Electronics,South,7,2709.04,702.79
2022-12-12,Printer,Office,West,3,936.74,201.24
2022-09-11,Camera,Electronics,West,4,3720.11,410.92
2024-03-26,Mouse,Accessories,West,5,5320.04,716.91
2023-09-20,Headphones,Accessories,East,4,804.62,121.51
2023-05-25,Laptop,Electronics,North,16,2449.54,493.54
2022-12-04,Headphones,Accessories,South,9,8667.44,781.78
2022-06-10,Monitor,Accessories,West,3,3018.16,320.11
2023-02-05,Laptop,Electronics,West,10,8651.26,2046.78
2024-01-20,Laptop,Electronics,South,3,1557.98,181.08
2022-01-27,Monitor,Accessories,South,6,3672.29,1002.5
2023-03-29,Mouse,Accessories,West,1,333.49,72.34
2024-11-26,Mouse,Accessories,West,3,444.345,105.195
2024-09-19,Laptop,Electronics,West,10,6560.28,1908.34
2023-07-20,Mouse,Accessories,South,3,619.525,88.695
2024-05-03,Headphones,Accessories,East,8,5880.1,436.85
2022-09-03,Smartphone,Electronics,West,4,3336.14,874.6
2024-07-09,Printer,Office,West,7,4109.95,1037.64
2022-11-17,Smartwatch,Electronics,West,7,595.52,148.5
2022-05-30,Monitor,Accessories,South,3,1872.77,553.1
2024-04-17,Smartwatch,Electronics,East,6,2124.38,126.03
2024-09-30,Monitor,Accessories,West,5,5210.13,1338.8
2024-06-02,Mouse,Accessories,South,3,2880.965,181.24
2022-09-26,Headphones,Accessories,South,7,6895.65,1596.35
2024-12-17,Smartwatch,Electronics,East,3,2118.89,317.08
2024-10-09,Smartwatch,Electronics,North,5,830.43,58.28
2023-07-14,Smartwatch,Electronics,North,1,851.61,93.56
2023-12-05,Tablet,Electronics,East,5,4730.17,1365.63
2022-06-03,Mouse,Accessories,West,3,2730.08,422.875
2024-12-28,Headphones,Accessories,East,5,5795.79,310.6
2022-08-06,Laptop,Electronics,South,8,4016.1,676.88
2023-06-06,Mouse,Accessories,South,7,2842.46,425.24
2024-02-01,Mouse,Accessories,East,2,1702.03,196.11
2023-05-31,Smartwatch,Electronics,West,1,1065.84,228.63
2024-06-14,Tablet,Electronics,West,7,2149.23,121.69
2024-08-14,Keyboard,Accessories,East,8,5912.66,1143.04
2023-02-01,Mouse,Accessories,West,3,3348.47,331.28
2024-04-28,Smartphone,Electronics,South,3,2409.46,531.79
2024-04-05,Tablet,Electronics,North,2,328.8,39.51
2024-01-31,Smartphone,Electronics,West,16,12448.88,3122.84
2024-01-09,Smartwatch,Electronics,North,5,2530.7,486.09
2024-05-22,Printer,Office,South,5,1640.33,391.36
2023-12-30,Laptop,Electronics,South,2,223.64,38.66
2022-03-17,Headphones,Accessories,North,1,445.05,128.89
2024-06-09,Mouse,Accessories,North,1,667.88,88.22
2024-12-01,Keyboard,Accessories,South,5,3090.12,242.15
2023-10-20,Printer,Office,East,5,3910.18,538.52
2024-03-05,Camera,Electronics,South,1,219.2,32.67
2022-12-05,Smartphone,Electronics,West,5,390.98,27.77
2022-08-05,Laptop,Electronics,North,12,6588.56,719.22
2023-03-21,Keyboard,Accessories,West,2,2286.295,519.025
2022-02-08,Monitor,Accessories,South,7,980.99,109.94
2023-04-01,Headphones,Accessories,North,2,2262.97,532.12
2022-12-14,Camera,Electronics,South,7,7518.29,1655.91
2022-05-14,Camera,Electronics,South,1,873.25,158.97
2022-02-16,Mouse,Accessories,North,6,1512.93,423.03
2024-08-28,Laptop,Electronics,West,2,1411.3,330.32
2023-10-30,Smartwatch,Electronics,North,8,3256.31,533.7
2023-06-24,Tablet,Electronics,West,4,556.79,81.77
2023-05-17,Mouse,Accessories,East,4,3550.845,1052.91
2023-04-06,Laptop,Electronics,West,18,17604.34,2689.92
2023-03-26,Headphones,Accessories,South,6,5592.21,1294.16
2024-10-12,Tablet,Electronics,North,2,1852.99,168.92
2022-06-26,Monitor,Accessories,East,1,195.14,57.88
2022-04-15,Mouse,Accessories,East,4,3942.48,1027.01
2023-12-10,Laptop,Electronics,East,5,4360.23,1160.55
2024-09-23,Mouse,Accessories,North,6,4920.94,929.18
2022-01-01,Mouse,Accessories,East,3,3474.84,565.0
2022-02-03,Keyboard,Accessories,West,1,930.14,222.5
2023-03-14,Tablet,Electronics,South,7,1421.95,248.02
2024-07-07,Camera,Electronics,East,1,673.49,114.42
2022-04-13,Mouse,Accessories,South,5,3135.43,787.7
2024-05-08,Smartphone,Electronics,East,12,1764.5,368.96
2024-09-10,Smartphone,Electronics,East,4,1192.42,212.77
2024-09-10,Tablet,Electronics,North,1,834.02,95.54
2022-05-06,Smartphone,Electronics,East,6,612.73,83.75
2024-06-18,Headphones,Accessories,West,9,8073.93,710.23
2023-10-29,Keyboard,Accessories,North,4,1320.2,361.94
2023-11-13,Smartphone,Electronics,North,6,6468.78,881.4
2022-08-21,Monitor,Accessories,West,5,4435.37,355.51
2024-03-04,Smartwatch,Electronics,North,2,2302.35,305.07
2022-04-17,Camera,Electronics,East,6,1728.62,307.44
